Date,Count
2017-07-13T00:00:00,1
2017-07-17T00:00:00,11
2017-07-18T00:00:00,3
2017-07-19T00:00:00,2
2017-09-05T00:00:00,2
2017-09-06T00:00:00,2
2017-09-07T00:00:00,8
2017-09-08T00:00:00,2
2017-09-11T00:00:00,2
2017-09-12T00:00:00,11
2017-09-13T00:00:00,1
2017-09-14T00:00:00,6
2017-10-12T00:00:00,9
2017-10-16T00:00:00,5
2017-10-17T00:00:00,5
2017-10-18T00:00:00,6
2017-10-19T00:00:00,13
2017-10-23T00:00:00,5
2017-10-24T00:00:00,9
2017-10-25T00:00:00,4
2017-10-26T00:00:00,14
2017-10-30T00:00:00,1
2017-10-31T00:00:00,1
2017-11-02T00:00:00,9
2017-11-06T00:00:00,1
2017-11-07T00:00:00,12
2017-11-13T00:00:00,1
2017-11-14T00:00:00,10
2017-11-15T00:00:00,5
2017-11-16T00:00:00,8
2017-11-20T00:00:00,3
2017-11-21T00:00:00,2
2017-11-22T00:00:00,6
2017-11-23T00:00:00,4
2017-11-27T00:00:00,8
2017-11-28T00:00:00,6
2017-11-29T00:00:00,4
2017-11-30T00:00:00,4
2017-12-04T00:00:00,3
2017-12-05T00:00:00,1
2017-12-07T00:00:00,7
2017-12-11T00:00:00,1
2017-12-12T00:00:00,10
2017-12-13T00:00:00,2
2017-12-14T00:00:00,1
2017-12-18T00:00:00,5
2017-12-19T00:00:00,6
2017-12-20T00:00:00,1
2017-12-21T00:00:00,19
2018-01-09T00:00:00,2
2018-01-11T00:00:00,14
2018-01-15T00:00:00,1
2018-01-16T00:00:00,3
2018-01-18T00:00:00,16
2018-01-24T00:00:00,13
2018-01-25T00:00:00,3
2018-01-29T00:00:00,17
2018-01-30T00:00:00,11
2018-01-31T00:00:00,2
2018-02-06T00:00:00,5
2018-02-07T00:00:00,4
2018-02-20T00:00:00,4
2018-02-22T00:00:00,1
2018-02-23T00:00:00,2
2018-02-26T00:00:00,6
2018-02-28T00:00:00,2
2018-03-01T00:00:00,2
2018-03-05T00:00:00,1
2018-03-06T00:00:00,11
2018-03-07T00:00:00,6
2018-03-08T00:00:00,18
2018-03-13T00:00:00,9
2018-03-14T00:00:00,1
2018-03-15T00:00:00,7
2018-03-16T00:00:00,1
2018-03-19T00:00:00,2
2018-03-21T00:00:00,4
2018-03-22T00:00:00,11
2018-03-26T00:00:00,3
2018-03-28T00:00:00,1
2018-03-29T00:00:00,2
2018-04-17T00:00:00,1
2018-04-18T00:00:00,6
2018-04-19T00:00:00,4
2018-04-23T00:00:00,4
2018-04-24T00:00:00,6
2018-04-25T00:00:00,1
2018-04-30T00:00:00,2
2018-05-01T00:00:00,3
2018-05-08T00:00:00,1
2018-05-09T00:00:00,7
2018-05-15T00:00:00,4
2018-05-16T00:00:00,7
2018-05-17T00:00:00,8
2018-05-22T00:00:00,5
2018-05-23T00:00:00,2
2018-06-04T00:00:00,3
2018-06-05T00:00:00,8
2018-06-06T00:00:00,7
2018-06-07T00:00:00,5
2018-06-11T00:00:00,7
2018-06-12T00:00:00,6
2018-06-13T00:00:00,8
2018-06-14T00:00:00,1
2018-06-19T00:00:00,7
2018-06-20T00:00:00,5
2018-06-21T00:00:00,1
2018-06-25T00:00:00,24
2018-06-26T00:00:00,5
2018-06-27T00:00:00,3
2018-06-28T00:00:00,12
2018-07-02T00:00:00,4
2018-07-03T00:00:00,4
2018-07-04T00:00:00,9
2018-07-09T00:00:00,4
2018-07-10T00:00:00,3
2018-07-11T00:00:00,3
2018-07-12T00:00:00,10
2018-07-16T00:00:00,4
2018-07-17T00:00:00,7
2018-07-18T00:00:00,2
2018-07-19T00:00:00,1
2018-07-23T00:00:00,2
2018-07-24T00:00:00,11
2018-09-06T00:00:00,8
2018-09-11T00:00:00,4
2018-09-12T00:00:00,5
2018-10-09T00:00:00,7
2018-10-10T00:00:00,18
2018-10-11T00:00:00,5
2018-10-15T00:00:00,7
2018-10-16T00:00:00,4
2018-10-17T00:00:00,4
2018-10-18T00:00:00,6
2018-10-22T00:00:00,3
2018-10-23T00:00:00,9
2018-10-24T00:00:00,9
2018-10-25T00:00:00,18
2018-10-29T00:00:00,6
2018-10-30T00:00:00,22
2018-10-31T00:00:00,14
2018-11-01T00:00:00,5
2018-11-06T00:00:00,1
2018-11-12T00:00:00,12
2018-11-13T00:00:00,13
2018-11-14T00:00:00,9
2018-11-15T00:00:00,3
2018-11-19T00:00:00,6
2018-11-20T00:00:00,8
2018-11-21T00:00:00,5
2018-11-22T00:00:00,8
2018-11-26T00:00:00,2
2018-11-27T00:00:00,8
2018-11-28T00:00:00,1
2018-11-29T00:00:00,2
2018-12-03T00:00:00,16
2018-12-04T00:00:00,17
2018-12-05T00:00:00,9
2018-12-06T00:00:00,23
2018-12-10T00:00:00,5
2018-12-11T00:00:00,20
2018-12-12T00:00:00,6
2018-12-14T00:00:00,2
2018-12-18T00:00:00,1
2018-12-19T00:00:00,3
2018-12-20T00:00:00,2
2019-01-08T00:00:00,4
2019-01-09T00:00:00,4
2019-01-10T00:00:00,7
2019-01-14T00:00:00,4
2019-01-15T00:00:00,1
2019-01-16T00:00:00,31
2019-01-17T00:00:00,4
2019-01-21T00:00:00,4
2019-01-22T00:00:00,11
2019-01-23T00:00:00,5
2019-01-24T00:00:00,17
2019-01-28T00:00:00,2
2019-01-29T00:00:00,3
2019-01-30T00:00:00,2
2019-01-31T00:00:00,3
2019-02-04T00:00:00,7
2019-02-05T00:00:00,1
2019-02-07T00:00:00,4
2019-02-08T00:00:00,3
2019-02-11T00:00:00,3
2019-02-12T00:00:00,10
2019-02-13T00:00:00,11
2019-02-14T00:00:00,3
2019-02-18T00:00:00,1
2019-02-19T00:00:00,1
2019-02-20T00:00:00,9
2019-02-21T00:00:00,9
2019-02-26T00:00:00,5
2019-02-27T00:00:00,7
2019-02-28T00:00:00,55
2019-03-04T00:00:00,7
2019-03-05T00:00:00,5
2019-03-06T00:00:00,4
2019-03-07T00:00:00,12
2019-03-11T00:00:00,13
2019-03-12T00:00:00,7
2019-03-13T00:00:00,5
2019-03-14T00:00:00,11
2019-03-15T00:00:00,4
2019-03-18T00:00:00,7
2019-03-19T00:00:00,11
2019-03-20T00:00:00,31
2019-03-21T00:00:00,7
2019-03-25T00:00:00,5
2019-03-27T00:00:00,7
2019-03-28T00:00:00,21
2019-04-01T00:00:00,4
2019-04-02T00:00:00,13
2019-04-03T00:00:00,5
2019-04-04T00:00:00,3
2019-04-08T00:00:00,1
2019-04-09T00:00:00,21
2019-04-10T00:00:00,4
2019-04-11T00:00:00,11
2019-04-23T00:00:00,57
2019-04-24T00:00:00,12
2019-04-25T00:00:00,14
2019-04-29T00:00:00,2
2019-04-30T00:00:00,22
2019-05-01T00:00:00,109
2019-05-02T00:00:00,38
2019-05-07T00:00:00,11
2019-05-08T00:00:00,4
2019-05-09T00:00:00,20
2019-05-13T00:00:00,4
2019-05-14T00:00:00,11
2019-05-15T00:00:00,10
2019-05-16T00:00:00,23
2019-05-21T00:00:00,18
2019-05-22T00:00:00,28
2019-05-23T00:00:00,3
2019-06-04T00:00:00,1
2019-06-05T00:00:00,22
2019-06-06T00:00:00,16
2019-06-10T00:00:00,3
2019-06-11T00:00:00,24
2019-06-12T00:00:00,46
2019-06-13T00:00:00,5
2019-06-17T00:00:00,1
2019-06-18T00:00:00,9
2019-06-19T00:00:00,2
2019-06-20T00:00:00,19
2019-06-24T00:00:00,53
2019-06-25T00:00:00,16
2019-06-26T00:00:00,46
2019-06-27T00:00:00,5
2019-07-01T00:00:00,24
2019-07-02T00:00:00,5
2019-07-03T00:00:00,19
2019-07-04T00:00:00,17
2019-07-08T00:00:00,15
2019-07-09T00:00:00,7
2019-07-10T00:00:00,68
2019-07-11T00:00:00,7
2019-07-15T00:00:00,9
2019-07-16T00:00:00,9
2019-07-17T00:00:00,22
2019-07-18T00:00:00,11
2019-07-22T00:00:00,7
2019-07-23T00:00:00,5
2019-07-24T00:00:00,13
2019-07-25T00:00:00,19
2019-09-03T00:00:00,11
2019-09-04T00:00:00,2
2019-09-05T00:00:00,11
2019-09-09T00:00:00,14
2019-09-25T00:00:00,4
2019-09-26T00:00:00,29
2019-09-30T00:00:00,2
2019-10-01T00:00:00,1
2019-10-02T00:00:00,18
2019-10-03T00:00:00,7
2019-10-07T00:00:00,21
2019-10-08T00:00:00,34
2019-10-14T00:00:00,23
2019-10-15T00:00:00,16
2019-10-16T00:00:00,9
2019-10-17T00:00:00,63
2019-10-19T00:00:00,4
2019-10-21T00:00:00,6
2019-10-22T00:00:00,11
2019-10-23T00:00:00,4
2019-10-24T00:00:00,13
2019-10-28T00:00:00,38
2019-10-29T00:00:00,13
2019-10-30T00:00:00,5
2019-10-31T00:00:00,16
2016-01-01T00:00:00,0
2019-11-02T00:00:00,0
